Fighter_Name,Height,Weight,Reach,Stance,DOB,Wins,Losses,Draws,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,Fighter_URL,Height_cm
Anthony Drilich,"5' 5""",125 lbs.,"65.0""",Southpaw,1994-03-17,8,2,0,5.8,31%,5.07,40%,0.0,0%,55%,0.0,http://ufcstats.com/fighter-details/c2c4052f58f54988,165.1
Kyle Driscoll,"5' 11""",145 lbs.,"74.0""",Orthodox,1994-09-23,12,3,0,2.73,32%,2.6,58%,2.0,18%,0%,0.0,http://ufcstats.com/fighter-details/e5e148d4363deff8,180.3
Chris Drumm,"5' 8""",145 lbs.,,,,0,1,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/5fd834edd92c9e50,172.7
Tomasz Drwal,"6' 1""",205 lbs.,"76.0""",Orthodox,1982-01-22,21,5,1,3.29,38%,2.26,57%,3.55,60%,82%,0.4,http://ufcstats.com/fighter-details/679a9054e2815943,185.4
Robert Drysdale,"6' 3""",205 lbs.,,Orthodox,1981-10-05,7,0,0,0.0,0%,0.0,0%,7.32,100%,0%,21.9,http://ufcstats.com/fighter-details/d2a9be6bf2de624c,190.5
Dricus Du Plessis,"6' 1""",185 lbs.,"76.0""",Switch,1994-01-14,23,3,0,5.18,48%,4.33,52%,2.22,51%,34%,0.7,http://ufcstats.com/fighter-details/0d7b51c9d2649a6e,185.4
Hugo Duarte,"6' 0""",240 lbs.,,Orthodox,1968-08-09,6,3,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/706404da0775dcbc,182.9
Antonio Duarte,"5' 7""",135 lbs.,,,1987-03-10,19,7,0,4.55,40%,4.18,57%,0.0,0%,60%,0.0,http://ufcstats.com/fighter-details/29b5d32584e02d8d,170.2
Joe Duarte,,155 lbs.,,,1977-01-25,10,4,0,2.27,38%,4.0,53%,3.0,50%,69%,1.0,http://ufcstats.com/fighter-details/454c3e9d4cd4a1b3,
Yuneisy Duben,"5' 4""",125 lbs.,"65.0""",Orthodox,1996-07-08,6,1,0,13.53,48%,10.75,53%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/c3d2b9bcb4cead6b,162.6
Matthieu Duclos,"6' 3""",185 lbs.,"77.0""",Orthodox,1995-04-04,6,3,0,3.93,37%,6.81,46%,0.0,0%,100%,0.0,http://ufcstats.com/fighter-details/ec322adbabbfa6e7,190.5
Emily Ducote,"5' 2""",115 lbs.,"63.0""",Orthodox,1994-01-01,13,9,0,7.45,52%,7.84,57%,0.2,14%,94%,0.0,http://ufcstats.com/fighter-details/02f8fedc18cbd26c,157.5
Viktoriia Dudakova,"5' 5""",115 lbs.,"67.0""",Orthodox,1999-01-26,8,2,0,2.87,47%,3.4,50%,2.73,35%,33%,0.0,http://ufcstats.com/fighter-details/6c9b66b43663f2f7,165.1
Milana Dudieva,"5' 3""",135 lbs.,,Orthodox,1989-08-04,11,6,0,0.87,31%,3.43,58%,2.34,45%,0%,0.0,http://ufcstats.com/fighter-details/072a10e85f7d4bff,160.0
Adin Duenas,"5' 6""",145 lbs.,,,1988-07-02,6,1,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/cb6c45b26b0a877a,167.6
Todd Duffee,"6' 3""",260 lbs.,"78.0""",Orthodox,1985-12-06,9,3,0,5.93,37%,2.87,56%,0.72,25%,90%,0.0,http://ufcstats.com/fighter-details/bda04c573563cc2e,190.5
Joe Duffy,"5' 10""",155 lbs.,"73.0""",Orthodox,1988-02-18,16,5,0,2.68,34%,3.78,54%,0.96,66%,64%,0.7,http://ufcstats.com/fighter-details/654ae722109a0d31,177.8
Jack Duffy,"5' 7""",125 lbs.,"69.0""",Switch,1995-10-02,7,1,0,5.07,69%,2.13,52%,0.0,0%,62%,0.0,http://ufcstats.com/fighter-details/cea51876d8a514a0,170.2
Alexis Dufresne,"5' 9""",135 lbs.,,Orthodox,1990-08-31,6,3,0,1.33,27%,3.33,60%,1.5,50%,50%,0.0,http://ufcstats.com/fighter-details/4ae4049426e0161d,175.3
Jessamyn Duke,"5' 11""",135 lbs.,"73.0""",Orthodox,1986-06-24,3,5,0,4.83,53%,4.43,57%,1.27,36%,50%,1.9,http://ufcstats.com/fighter-details/a7ddae0be8b78147,180.3
Islam Dulatov,"6' 3""",170 lbs.,"75.0""",Orthodox,1998-08-02,12,1,0,8.78,54%,4.24,50%,2.2,100%,100%,0.0,http://ufcstats.com/fighter-details/e803242fb2e41112,190.5
Isaac Dulgarian,"5' 7""",145 lbs.,"71.0""",Orthodox,1996-07-04,7,2,0,2.99,63%,1.65,40%,4.57,50%,0%,1.8,http://ufcstats.com/fighter-details/a57cb948c4c70a47,170.2
Kelly Dullanty,"5' 8""",155 lbs.,,Orthodox,1977-11-04,4,2,0,0.0,0%,0.67,75%,0.0,0%,66%,0.0,http://ufcstats.com/fighter-details/1a225f04aa6e0739,172.7
Sedriques Dumas,"6' 2""",185 lbs.,"79.0""",Orthodox,1995-08-06,10,4,0,2.0,44%,2.41,55%,1.34,31%,33%,0.2,http://ufcstats.com/fighter-details/4e6738062d469256,188.0
Norma Dumont,"5' 7""",135 lbs.,"67.0""",Orthodox,1990-10-01,13,2,0,3.89,50%,2.12,65%,1.56,56%,68%,0.0,http://ufcstats.com/fighter-details/d3f5d33d61cd00c9,170.2
Chris Duncan,"5' 10""",155 lbs.,"71.0""",Orthodox,1993-05-10,15,2,0,5.02,46%,4.82,51%,3.27,42%,50%,0.7,http://ufcstats.com/fighter-details/fd406a32a6fb3a29,177.8
Christian Leroy Duncan,"6' 2""",185 lbs.,"79.0""",Switch,1995-07-24,13,2,0,4.6,58%,2.97,51%,0.4,20%,69%,0.0,http://ufcstats.com/fighter-details/a93f94c923c3a9cb,188.0
Evan Dunham,"5' 10""",155 lbs.,"70.0""",Southpaw,1981-12-18,18,9,1,5.33,39%,3.54,61%,1.82,33%,79%,1.0,http://ufcstats.com/fighter-details/e5c9de15bb58b1c6,177.8
Alex Dunworth,"5' 8""",155 lbs.,,,,2,2,0,1.94,31%,8.71,35%,0.0,0%,50%,0.0,http://ufcstats.com/fighter-details/31732a614e7a3d1d,172.7
Tom Duquesnoy,"5' 7""",135 lbs.,"68.0""",Orthodox,1993-06-21,16,2,0,3.83,45%,5.3,62%,0.42,25%,46%,0.0,http://ufcstats.com/fighter-details/e979c76341f19b22,170.2
Albert Duraev,"5' 11""",185 lbs.,"75.0""",Orthodox,1989-01-05,16,5,0,2.99,40%,3.01,59%,1.97,29%,66%,0.6,http://ufcstats.com/fighter-details/6b7c7460855dbbb9,180.3
Reuben Duran,"5' 7""",135 lbs.,"71.0""",Orthodox,1983-07-02,11,7,1,3.19,49%,2.61,50%,0.98,23%,25%,0.7,http://ufcstats.com/fighter-details/4417980b3e798abf,170.2
Cody Durden,"5' 7""",125 lbs.,"67.0""",Southpaw,1991-03-29,17,10,1,3.34,44%,4.19,50%,3.89,46%,60%,0.6,http://ufcstats.com/fighter-details/7f6ed67d3ed3c036,170.2
Luiz Dutra,"5' 11""",170 lbs.,,Orthodox,1982-05-06,13,6,1,3.92,50%,4.8,41%,0.0,0%,100%,0.0,http://ufcstats.com/fighter-details/2153a7f8396a46cc,180.3
Rilley Dutro,"5' 8""",125 lbs.,,Orthodox,1987-09-03,11,4,0,4.74,54%,5.95,33%,0.0,0%,83%,0.0,http://ufcstats.com/fighter-details/43db649da89fac4b,172.7
Bill Duvall,"6' 2""",185 lbs.,,Southpaw,,1,2,0,0.0,0%,2.4,40%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/7df4d3c38792b083,188.0
Merab Dvalishvili,"5' 6""",135 lbs.,"68.0""",Orthodox,1991-01-10,21,5,0,4.42,41%,2.8,54%,5.97,35%,76%,0.3,http://ufcstats.com/fighter-details/c03520b5c88ed6b4,167.6
David Dvorak,"5' 5""",125 lbs.,"68.0""",Orthodox,1992-06-05,20,6,0,3.48,43%,3.29,59%,0.58,30%,70%,0.2,http://ufcstats.com/fighter-details/9ada30894bf04e19,165.1
Matt Dwyer,"6' 4""",170 lbs.,"76.0""",Orthodox,1989-12-17,9,4,0,2.57,34%,3.24,54%,0.44,10%,60%,0.0,http://ufcstats.com/fighter-details/8f0d576beba1cfcd,193.0
Rolando Dy,"5' 8""",145 lbs.,"69.0""",Orthodox,1990-08-11,9,7,1,3.04,37%,4.47,52%,0.3,20%,68%,0.0,http://ufcstats.com/fighter-details/55ed59d541f8b90c,172.7
Shanelle Dyer,"5' 6""",115 lbs.,"65.0""",Orthodox,2001-04-23,6,1,0,7.67,41%,7.8,44%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/cfbb3edab781dfd2,167.6
Ben Earwood,"5' 8""",170 lbs.,,Orthodox,,12,3,0,0.5,55%,0.2,33%,3.0,100%,0%,0.0,http://ufcstats.com/fighter-details/ee457ef1e1c326c1,172.7
Cody East,"6' 3""",245 lbs.,,Orthodox,1988-06-29,12,3,0,4.15,43%,7.32,40%,3.97,100%,16%,0.0,http://ufcstats.com/fighter-details/5713c1d2fac539ac,190.5
Marvin Eastman,"5' 9""",185 lbs.,"73.0""",Orthodox,1971-06-08,18,15,1,2.21,35%,3.92,42%,1.38,33%,81%,0.0,http://ufcstats.com/fighter-details/05866d8c3a321856,175.3
Mike Easton,"5' 6""",135 lbs.,"70.0""",Southpaw,1984-01-25,13,6,0,3.51,37%,4.28,61%,0.75,22%,66%,0.0,http://ufcstats.com/fighter-details/bc7230f231701d66,167.6
Maurice Eazel,"5' 7""",135 lbs.,,,,7,15,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/4acb99524a9a81ab,170.2
Vincent Eazelle,"5' 11""",155 lbs.,,,1980-12-07,9,2,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/ec421d5de0aea624,180.3
Ross Ebanez,"5' 9""",154 lbs.,,Southpaw,1975-05-18,20,10,0,0.74,50%,0.74,62%,3.7,100%,0%,0.0,http://ufcstats.com/fighter-details/a5b0bd216d8ba84e,175.3
Brian Ebersole,"6' 0""",170 lbs.,"73.0""",Southpaw,1980-11-27,51,18,1,2.32,49%,2.14,56%,1.7,23%,61%,0.1,http://ufcstats.com/fighter-details/32ba186f4b0e3267,182.9
Roybert Echeverria,"5' 5""",125 lbs.,"67.0""",Switch,1995-08-21,7,1,0,2.95,53%,2.52,57%,0.0,0%,71%,2.6,http://ufcstats.com/fighter-details/20b13e96668caaa4,165.1
Mark Eddiva,"5' 8""",145 lbs.,"68.0""",Orthodox,1986-02-16,6,3,0,3.37,45%,2.98,54%,1.45,22%,63%,0.0,http://ufcstats.com/fighter-details/40ff198adda94b9f,172.7
Frankie Edgar,"5' 6""",135 lbs.,"68.0""",Orthodox,1981-10-16,23,11,1,3.77,40%,2.82,65%,2.29,31%,65%,0.3,http://ufcstats.com/fighter-details/f2688492b9a525a3,167.6
Abdul-Kerim Edilov,"6' 2""",205 lbs.,,Orthodox,1991-11-25,17,4,0,10.22,61%,0.13,92%,3.98,100%,0%,2.0,http://ufcstats.com/fighter-details/37e03538c960bac6,188.0
Johnny Eduardo,"5' 7""",135 lbs.,"71.0""",Orthodox,1978-08-03,28,13,0,2.95,39%,3.22,63%,0.22,20%,58%,0.4,http://ufcstats.com/fighter-details/528c24b99fbaab79,170.2
Yves Edwards,"5' 9""",155 lbs.,"73.0""",Southpaw,1976-09-30,42,22,1,2.91,42%,2.34,66%,0.76,53%,69%,0.7,http://ufcstats.com/fighter-details/5f04e3d58d9ce982,175.3
Justin Edwards,"5' 10""",155 lbs.,"70.0""",Orthodox,1983-01-26,9,5,0,2.68,42%,3.32,51%,2.14,26%,27%,1.0,http://ufcstats.com/fighter-details/e56daf7725a0b5ab,177.8
Leon Edwards,"6' 2""",170 lbs.,"74.0""",Southpaw,1991-08-25,22,6,0,2.6,54%,2.44,52%,1.25,37%,63%,0.4,http://ufcstats.com/fighter-details/f1fac969a1d70b08,188.0
Te Edwards,"5' 8""",155 lbs.,"72.0""",Orthodox,1990-09-11,6,3,0,1.5,41%,4.15,44%,0.72,100%,44%,0.0,http://ufcstats.com/fighter-details/ef44e4ea9050f2ea,172.7
Adli Edwards,,145 lbs.,,,1989-08-28,4,1,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/e6904a03a66e711d,
Joselyne Edwards,"5' 8""",135 lbs.,"70.0""",Orthodox,1995-09-29,17,6,0,4.61,53%,3.24,50%,1.43,40%,61%,0.6,http://ufcstats.com/fighter-details/f9ab66e67240db7b,172.7
Tom Egan,"5' 11""",170 lbs.,,Orthodox,,7,5,0,0.0,0%,3.91,50%,0.0,0%,28%,0.0,http://ufcstats.com/fighter-details/eae4aec1a5a8ff01,180.3
Stephanie Egger,"5' 6""",135 lbs.,"68.0""",Orthodox,1988-08-12,8,5,0,2.2,46%,2.48,52%,2.48,42%,50%,0.6,http://ufcstats.com/fighter-details/5e6294b37bbef029,167.6
Justin Eilers,"6' 1""",235 lbs.,,Orthodox,1978-06-28,19,7,1,2.86,43%,5.66,49%,0.82,25%,50%,0.0,http://ufcstats.com/fighter-details/27fc9218a3653e3c,185.4
Jon Olav Einemo,"6' 6""",253 lbs.,,Orthodox,1975-12-10,6,3,0,2.15,52%,3.05,52%,1.73,55%,43%,0.0,http://ufcstats.com/fighter-details/0577808d22dfe79c,198.1
Per Eklund,"5' 10""",155 lbs.,"72.0""",Orthodox,1980-11-12,14,5,1,2.07,61%,2.38,67%,2.07,11%,50%,3.6,http://ufcstats.com/fighter-details/58bc81376286b3d3,177.8
John Elam,,,,,,2,0,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/22d80fb67e50ab0b,
Evan Elder,"5' 10""",155 lbs.,"72.0""",Switch,1997-04-11,10,2,0,5.66,50%,4.94,57%,0.48,15%,40%,0.5,http://ufcstats.com/fighter-details/d9a56ecb6e94f02e,177.8
Billy Elekana,"6' 3""",205 lbs.,"77.0""",Southpaw,1995-05-28,10,2,0,2.71,56%,3.59,46%,0.85,22%,0%,0.8,http://ufcstats.com/fighter-details/07a74004d964c7f4,190.5
John Paul Elias,"6' 4""",205 lbs.,,,,3,1,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/e873203fd50542f6,193.0
Joao Elias,"5' 3""",125 lbs.,"64.0""",Southpaw,1995-01-08,17,4,1,0.4,50%,6.47,20%,0.0,0%,50%,0.0,http://ufcstats.com/fighter-details/1a064688481f66e1,160.0
Saul Elizondo,"5' 7""",135 lbs.,,,1985-07-17,6,8,0,2.07,30%,4.93,48%,2.0,100%,66%,1.0,http://ufcstats.com/fighter-details/e295b96f135d758a,170.2
Darren Elkins,"5' 10""",145 lbs.,"71.0""",Orthodox,1984-05-16,29,12,0,3.4,38%,3.34,51%,2.87,34%,56%,1.1,http://ufcstats.com/fighter-details/92a9aa9c93192871,177.8
Jake Ellenberger,"5' 9""",170 lbs.,"71.0""",Orthodox,1985-03-28,31,15,0,2.47,39%,2.83,60%,2.04,47%,86%,0.4,http://ufcstats.com/fighter-details/d81ac739417d7f53,175.3
Joe Ellenberger,"5' 9""",155 lbs.,"72.0""",Orthodox,1985-03-28,15,2,0,1.62,47%,3.45,48%,3.17,40%,0%,1.1,http://ufcstats.com/fighter-details/8e8e4487c621aa1c,175.3
Tim Elliott,"5' 7""",125 lbs.,"66.0""",Southpaw,1986-12-24,22,13,1,3.37,44%,2.65,57%,3.71,47%,59%,1.1,http://ufcstats.com/fighter-details/c96d9178c9ed9e62,170.2
Oban Elliott,"6' 0""",170 lbs.,"72.0""",Orthodox,1997-12-19,12,4,0,3.62,48%,2.24,61%,1.52,40%,52%,0.0,http://ufcstats.com/fighter-details/6b56e94a59b7b134,182.9
Eddy Ellis,"5' 9""",170 lbs.,,Orthodox,1983-07-07,21,16,1,3.4,69%,1.53,68%,4.0,66%,50%,2.0,http://ufcstats.com/fighter-details/e60d773a0a42048a,175.3
Lisa Ellis,"5' 4""",115 lbs.,,,1982-11-15,15,11,0,1.68,48%,2.32,57%,4.19,63%,50%,0.6,http://ufcstats.com/fighter-details/77350fd0e6d1dba8,162.6
Elisha Ellison,"6' 0""",238 lbs.,"78.0""",Orthodox,1997-03-05,5,2,0,1.57,33%,15.13,40%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/87e4a3a5080ee7ce,182.9
Anna Elmose,"5' 3""",115 lbs.,,Orthodox,1984-10-06,3,2,0,3.68,49%,4.64,56%,0.0,0%,33%,0.0,http://ufcstats.com/fighter-details/1536a25e16fc299b,160.0
Cameron Else,"5' 9""",135 lbs.,"71.0""",Switch,1987-04-27,10,6,0,1.99,40%,8.09,51%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/5f3da9a9610d8969,175.3
Aaron Ely,"5' 8""",135 lbs.,,,1989-03-18,5,2,0,0.82,15%,0.66,69%,2.47,100%,50%,4.9,http://ufcstats.com/fighter-details/1741343f0ca34dd5,172.7
Sovannahry Em,"5' 4""",135 lbs.,,,1992-06-26,3,1,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/45c8fed13a62fe92,162.6
Ramazan Emeev,"5' 10""",170 lbs.,"76.0""",Southpaw,1987-05-23,20,6,0,2.53,45%,2.14,65%,2.37,29%,66%,0.7,http://ufcstats.com/fighter-details/abd5fb12437eda21,177.8
Aleksander Emelianenko,"6' 6""",255 lbs.,,Orthodox,1981-08-02,23,7,0,2.75,41%,1.7,65%,2.32,72%,66%,0.9,http://ufcstats.com/fighter-details/f54200f1dfb9b5d4,198.1
Fedor Emelianenko,"6' 0""",230 lbs.,"74.0""",Orthodox,1976-09-28,36,5,0,3.18,51%,1.0,63%,2.0,63%,82%,1.9,http://ufcstats.com/fighter-details/b8da6f5c80ae2d15,182.9
Rob Emerson,"5' 9""",155 lbs.,"70.0""",Orthodox,1981-07-30,18,12,0,2.5,30%,2.83,64%,2.02,52%,65%,0.4,http://ufcstats.com/fighter-details/dc0f07928009a127,175.3
Jamall Emmers,"5' 10""",145 lbs.,"74.0""",Orthodox,1989-07-24,22,8,0,5.1,49%,3.92,57%,2.59,53%,81%,0.3,http://ufcstats.com/fighter-details/e00a3dee329a51f7,177.8
Josh Emmett,"5' 6""",145 lbs.,"70.0""",Orthodox,1985-03-04,19,6,0,3.72,35%,4.43,60%,1.08,37%,43%,0.1,http://ufcstats.com/fighter-details/fba03cd6cc28dc41,167.6
Marius Enache,"5' 11""",155 lbs.,,,1975-10-16,3,3,0,1.71,34%,0.66,84%,3.94,100%,0%,3.9,http://ufcstats.com/fighter-details/e3f443e4cbc3da8f,180.3
Kevin Engel,"6' 2""",170 lbs.,,,,5,1,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/d2f310b5b072e986,188.0
Kolton Englund,"5' 10""",155 lbs.,"69.0""",Orthodox,1993-07-09,9,4,0,2.31,25%,11.54,40%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/4122da4f791b2f4f,177.8
Oliver Enkamp,"6' 0""",170 lbs.,"77.0""",Switch,1991-08-10,7,2,0,2.38,36%,3.55,37%,0.87,16%,0%,0.0,http://ufcstats.com/fighter-details/330bafba312face4,182.9
Alex Enlund,"5' 10""",145 lbs.,,Orthodox,1987-05-27,14,2,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/d238217e0f8ea8e1,177.8
Kenny Ento,"6' 2""",192 lbs.,,,,14,15,0,8.41,79%,0.0,100%,5.49,100%,0%,11.0,http://ufcstats.com/fighter-details/daf9be103c1edbbd,188.0
Ian Entwistle,"5' 5""",135 lbs.,,Orthodox,1986-11-19,9,3,0,0.11,7%,7.36,31%,0.0,0%,0%,12.1,http://ufcstats.com/fighter-details/d7adfcfdf7c6c1f8,165.1
Andy Enz,"6' 3""",185 lbs.,"78.0""",Orthodox,1991-08-15,10,4,0,3.51,23%,5.32,57%,0.0,0%,58%,0.0,http://ufcstats.com/fighter-details/993d385f5a475375,190.5
Won Jin Eoh,"5' 7""",160 lbs.,,Orthodox,,5,5,1,3.74,44%,3.58,46%,0.0,0%,50%,0.0,http://ufcstats.com/fighter-details/bc7cf284c1c2f16e,170.2
Yuji Ephoevi-Ga,"6' 0""",155 lbs.,"75.0""",Switch,1999-10-19,11,1,0,2.67,71%,2.6,44%,0.0,0%,60%,0.0,http://ufcstats.com/fighter-details/919fc4bc3edf4de7,182.9
Josh Epps,,130 lbs.,,,1986-08-23,6,7,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/984b0c4c6e773a1c,
Abdellah Er-Ramy,"6' 0""",185 lbs.,"74.0""",Orthodox,1996-09-19,7,2,0,0.0,0%,8.4,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/b593cd58b0afffb0,182.9
Steve Erceg,"5' 8""",125 lbs.,"68.0""",Orthodox,1995-07-27,13,4,0,4.0,45%,3.79,52%,1.15,27%,62%,0.4,http://ufcstats.com/fighter-details/32ab52e5de93092d,172.7
Tom Erikson,"6' 3""",280 lbs.,,Orthodox,1964-07-06,9,4,1,0.94,47%,1.87,25%,4.68,60%,100%,6.2,http://ufcstats.com/fighter-details/7b9a85e5ff31ef47,190.5
Konstantin Erokhin,"5' 11""",230 lbs.,,Orthodox,1983-01-31,9,3,0,1.07,36%,1.83,47%,0.0,0%,70%,0.0,http://ufcstats.com/fighter-details/22061ff217907c78,180.3
Julian Erosa,"6' 1""",145 lbs.,"74.0""",Southpaw,1989-07-31,31,13,0,6.21,48%,6.27,48%,1.78,43%,61%,0.7,http://ufcstats.com/fighter-details/902ec2cc48c8ae8a,185.4
Jarno Errens,"5' 11""",145 lbs.,"73.0""",Orthodox,1994-11-17,14,6,1,3.29,44%,3.29,61%,0.0,0%,33%,0.3,http://ufcstats.com/fighter-details/082eba4cd80f736f,180.3
Ivan Erslan,"6' 2""",205 lbs.,"72.0""",Orthodox,1991-11-15,14,6,0,2.55,46%,5.01,53%,0.45,20%,61%,0.0,http://ufcstats.com/fighter-details/64ad3e3b0efa30bb,188.0
Nick Ertl,"5' 9""",155 lbs.,,,1968-10-29,8,6,0,1.34,69%,1.59,41%,1.88,50%,0%,0.0,http://ufcstats.com/fighter-details/74061adb224be3cc,175.3
Chel Erwin-Davis,"6' 0""",170 lbs.,,,,5,1,0,4.06,54%,1.13,61%,4.25,100%,50%,1.4,http://ufcstats.com/fighter-details/c26ea30823f37316,182.9
Bobby Escalante,,130 lbs.,,,,5,6,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/f7ede18b4ec4ec1f,
Eric Esch,"5' 11""",350 lbs.,,Orthodox,1968-08-03,15,10,1,3.07,71%,1.74,43%,0.0,0%,0%,2.0,http://ufcstats.com/fighter-details/0e4daed84a8f39a6,180.3
Pro Escobedo,,205 lbs.,,,,1,0,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/b36874652ed7715d,
Cole Escovedo,"5' 7""",135 lbs.,"72.0""",Orthodox,1981-08-30,17,9,0,1.77,43%,4.32,49%,0.43,33%,13%,0.0,http://ufcstats.com/fighter-details/5df17b3620145578,170.2
Efrain Escudero,"5' 9""",155 lbs.,"71.0""",Orthodox,1986-01-15,28,12,0,2.92,44%,2.3,63%,1.31,40%,66%,0.8,http://ufcstats.com/fighter-details/83fd97284f4bb4a4,175.3
Evan Esguerra,,145 lbs.,,,1978-07-13,8,7,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/ed220e87bef0cc64,
Carla Esparza,"5' 1""",115 lbs.,"63.0""",Orthodox,1987-10-10,20,8,0,2.19,39%,2.87,54%,3.28,36%,47%,0.3,http://ufcstats.com/fighter-details/d910665038efc639,154.9
Juan Espino,"6' 3""",255 lbs.,"80.0""",Orthodox,1980-10-09,11,2,0,2.38,70%,1.95,40%,8.93,78%,50%,2.4,http://ufcstats.com/fighter-details/ccf5dc41417e9daf,190.5
Jordan Espinosa,"5' 6""",125 lbs.,"69.0""",Orthodox,1989-11-08,15,9,0,4.22,52%,2.94,57%,0.75,28%,70%,0.2,http://ufcstats.com/fighter-details/215a70f073a7b726,167.6
Jodie Esquibel,"5' 1""",115 lbs.,"64.0""",Orthodox,1986-05-07,6,6,0,4.1,31%,7.37,52%,0.75,21%,83%,0.0,http://ufcstats.com/fighter-details/411539901068522f,154.9
Rafael Estevam,"5' 8""",135 lbs.,"69.0""",Orthodox,1996-08-10,14,0,0,2.1,54%,2.59,47%,6.01,38%,66%,0.3,http://ufcstats.com/fighter-details/83455a9d17f57dae,172.7
Achilles Estremadura,"5' 10""",155 lbs.,"68.0""",Orthodox,1992-03-11,7,1,0,3.2,43%,3.27,70%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/41f3cfdab0b22236,177.8
Shaun Etchell,"5' 7""",125 lbs.,"68.0""",Switch,1993-08-05,7,3,0,0.0,0%,0.0,0%,4.37,100%,100%,0.0,http://ufcstats.com/fighter-details/ea9bfe9c25037bba,170.2
Terry Etim,"6' 1""",155 lbs.,"73.0""",Orthodox,1986-01-11,16,5,0,2.16,35%,2.53,67%,0.43,30%,39%,1.4,http://ufcstats.com/fighter-details/33011768c3c4dc9a,185.4
Fred Ettish,"6' 0""",180 lbs.,,Southpaw,1955-10-12,1,1,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/8d5daf67983b65ba,182.9
Scott Ettling,,135 lbs.,,,,4,2,0,0.0,0%,0.54,83%,8.04,100%,0%,0.0,http://ufcstats.com/fighter-details/74b5736f1df40be3,
Sijara Eubanks,"5' 4""",125 lbs.,"67.0""",Orthodox,1985-04-27,8,7,0,4.3,43%,3.43,57%,1.9,44%,66%,0.3,http://ufcstats.com/fighter-details/4234f0097c83fa62,162.6
Billy Evangelista,"5' 8""",155 lbs.,"68.0""",Orthodox,1980-10-07,13,3,0,4.51,40%,3.96,61%,1.6,19%,61%,0.2,http://ufcstats.com/fighter-details/9766ed20b68c7c33,172.7
Rashad Evans,"6' 0""",205 lbs.,"75.0""",Orthodox,1979-09-25,19,8,1,2.14,37%,2.42,63%,2.98,44%,73%,0.0,http://ufcstats.com/fighter-details/ee779c43a8926d52,182.9
Doug Evans,"5' 9""",155 lbs.,,Orthodox,1980-10-10,13,10,0,1.79,35%,2.55,55%,3.19,83%,69%,0.6,http://ufcstats.com/fighter-details/d3de4a24f7eefac8,175.3
Ashlee Evans-Smith,"5' 8""",135 lbs.,"67.0""",Orthodox,1987-07-09,6,6,0,4.03,34%,4.59,53%,0.95,22%,50%,0.0,http://ufcstats.com/fighter-details/fc6e681bf6658faf,172.7
Dan Evensen,"6' 3""",250 lbs.,,Orthodox,1974-06-01,11,4,0,0.27,10%,3.86,38%,0.0,0%,0%,4.0,http://ufcstats.com/fighter-details/dd8aec6de7035943,190.5
Tonya Evinger,"5' 7""",135 lbs.,"70.0""",Orthodox,1981-06-04,19,8,0,1.16,42%,4.02,38%,0.93,30%,33%,0.9,http://ufcstats.com/fighter-details/b12a1d19ee383b7c,170.2
Movsar Evloev,"5' 7""",145 lbs.,"72.0""",Orthodox,1994-02-11,19,0,0,3.99,48%,2.66,60%,4.67,48%,61%,0.2,http://ufcstats.com/fighter-details/76e2870ffafbe38f,170.2
Andre Ewell,"5' 8""",145 lbs.,"75.0""",Southpaw,1988-01-21,17,9,0,4.28,40%,4.87,51%,0.36,75%,72%,0.1,http://ufcstats.com/fighter-details/5f6f049d54728e88,172.7
